what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1411608249684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411608256094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411608261246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411608262546
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411608263545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411608268330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411608269562
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411608272221
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411608274644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411608279735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411608289602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411608289636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411608323207
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411608326132
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411608328764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411608329699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411608342298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411608342341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1411608350995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411608353454
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411608357652
